ID,name,datetime,allbox,firstweekbox,firstdaybox,watchcount,comment_number,long_comment_number,short_avg_emotion,long_avg_score,score,tagscore,enviroment,isChinese,runtime,effect
5323968,环太平洋,2013-07-31,69539.5,28571.1,5407.1,11487,125504,1331,2.67656,3.74161,7.7,8,5,0,131,0
5327268,荒野猎人,2016-03-18,37673.0,20879.199,6383.0,125627,100334,1427,2.65038,4.09764,8.0,8,4,0,156,6
5350027,妖猫传,2017-12-22,53025.602,24327.199,7425.8,218729,245048,7775,2.03383,3.53242,6.9,9,4,1,129,5
5996801,狄仁杰之神都龙王,2013-09-28,60058.898,9488.8,5523.6,8022,60433,733,1.87181,3.32082,6.5,7,2,1,133,7
6011805,一九四二,2012-11-29,37106.699,13717.8,2555.4,3826,71099,2623,2.23742,3.56463,7.9,6,2,0,146,11
6082518,超凡蜘蛛侠2,2014-05-04,58538.301,6146.5,5736.3,30601,61230,554,3.38763,3.77133,7.5,8,8,0,142,7
6126442,一步之遥,2014-12-18,51375.5,34397.102,8159.3,76069,90506,3070,1.77671,3.68151,6.5,8,3,1,140,11
6311303,加勒比海盗5：死无对证,2017-05-26,118007.297,46887.102,13323.1,518761,92719,1258,3.14646,3.54054,7.2,7,9,0,129,3
6390823,美国队长2,2014-04-04,71897.602,24497.5,5956.2,22298,109016,547,4.06224,4.17347,8.0,8,8,0,136,9
6390825,黑豹,2018-03-09,66259.703,42295.199,13177.0,283239,129090,1667,3.20959,3.17406,6.5,8,5,0,134,6
6537500,速度与激情6,2013-07-26,41372.5,18471.0,5447.0,21167,62226,379,2.66005,3.95932,7.8,7,8,0,130,9
6873143,一条狗的使命,2017-03-03,60777.5,11976.8,2449.2,44007,104415,1911,3.36285,3.46622,7.7,7,4,0,101,3
6873736,愤怒的小鸟,2016-05-20,51297.199,19741.199,5350.0,123045,31838,286,3.1528,3.65818,7.2,5,4,0,97,0
6874741,无问西东,2018-01-12,75431.398,13887.8,3552.6,57208,215605,9523,2.73173,3.74915,7.6,8,10,1,138,7
6875263,灰姑娘,2015-03-13,44397.398,15763.7,3515.3,75385,63664,736,3.00434,3.33446,6.9,7,3,0,106,4
6973376,致我们终将逝去的青春,2013-04-26,71902.297,14557.4,4778.6,20952,157104,7312,1.69644,3.07071,6.5,6,2,1,132,5
6982558,长城,2016-12-16,117311.0,47135.5,12357.1,242315,141959,5538,0.759548,2.6443,4.9,7,4,0,104,8
7046723,猩球崛起2：黎明之战,2014-08-29,70731.5,28841.6,8897.9,78488,62920,688,2.87474,3.85959,7.6,9,9,0,130,3
7054604,变形金刚4：绝迹重生,2014-06-27,197652.406,63171.199,17440.9,113801,84569,908,1.02018,3.14189,6.6,6,8,0,166,6
7065154,银河护卫队,2014-10-10,59640.102,19248.301,4608.0,51623,127534,527,3.66565,3.92617,8.1,8,3,0,121,9
